Title,Author,ListPrice,AmazonPrice,HardOrPaper,NumPages,Publisher,PubYear,ISBN.10,Height,Width,Thick,Weight
Waiting,Ha Jin,15,10.2,P,308,Vintage,2000,375706410,8,5.2,0.7,10.4
Taming the Star Runner,S.E. Hinton,6.99,6.99,P,192,Laurel Leaf,1989,440204798,6.7,4.2,0.6,4
Mercy,Jodi Picoult,16,8.59,P,416,Washington Square Press,2001,743422449,8.3,5.3,1.1,12
The Tiger's Wife: A Novel,Obreht,25,14.7,H,352,Random House,2011,385343833,8.3,5.7,1.1,17.6
The Night Thoreau Spent in Jail: A Play,Lawrence,11,8.8,P,128,Hill and Wang,2001,809012237,8.1,5.4,0.4,5.6
Modern Man in Search of a Soul (Harvest Book),C.G. Jung,14,11.2,P,244,Harcourt Harvest,1955,156612062,8,5.3,0.6,6.4
Invisible Man,Ralph Ellison,15.95,10.22,P,608,Vintage,1995,679732764,8,5.2,1.1,17.6
Kiss the Girls,James Patterson,14.99,10.19,P,481,Warner Books,2000,446677388,8,5.2,1.2,14.4
The Sheik,E.M. Hull,18.95,15.15,P,304,Pine Street Books,2001,812217632,7.3,5,0.8,12
Everything that Rises Must Converge,Flannery O'Connor,16,10.88,P,320,"Farr, Straus and Giroux",1965,374504644,8.3,5.5,0.8,10.4
Peter Pan,J.M. Barrie,8.95,8.95,P,192,Modern Library,2004,081297297X,8.1,5.2,0.4,5.6
Olive Twist,Charles Dickens,20,13.6,H,607,Penguin Classics,2010,141192496,7.9,5.1,1.5,24
Swimsuit,James Patterson & Maxine Paetro,9.99,9.99,P,400,Grand Central Publishing,2011,446561355,7.8,4.2,1.2,7.2
Invitation to a Beheading,Vladimir Nabokov,14,11.08,P,240,Vintage,1990,679725318,8,5.2,0.6,8
The Conquest of New Spain (Penguin Classics),Bernal Diaz,17,11.44,P,412,Penguin Books,1963,140441239,7.1,4.3,0.7,3.2
The Heart is a Lonely Hunter,Carson McCullers,13.95,7.7,P,368,Mariner,2004,618526412,8.3,5,0.9,14.4
The Anatomy of Human Destructiveness,Erich Fromm,24,15.48,P,576,Holt Paperbacks,1992,080501604X,8.4,5.5,1.4,22.4
Stalin's Genocides (Human Rights and Crimes Against Humanity),Norman Naimark,26.95,17.79,H,176,Princeton University Press,2010,691147841,8.6,5.7,0.8,12.6
The March of Folly: From Troy to Vietnam,Barbara W. Tuchman,16.95,11.53,P,447,Ballantine Books,1985,345308239,8.2,5.3,1.3,17.6
Discovering a Global Past: A Look at the Evidence,Merry Wiesner-Hanks,86.95,54.61,P,512,Wadsworth Publishing,2006,618526382,9.1,7.4,0.8,23.2
Cutting for Stone,Abraham Verghese,15.95,7.97,P,667,Vintage,2010,375714367,8,5.2,1.2,17.6
After Dark,Murakami,14.95,10.17,P,256,Vintage,2008,307278735,8,5.2,0.9,9.1
Invisible Man,Ellison,21,13.43,H,624,Modern Library,1995,679601392,7.8,4.8,1.8,25.6
The Inferno of Dante: Bilingual Edition,Dante,12,9.22,P,384,"Farrar, Straus, and Giroux",1996,374524521,7.9,5.6,1,15.2
To Kill a Mockingbird,Harper Lee,35,23.1,H,336,HarperCollins,2006,61205699,8.9,6.1,1.3,17.6
"The Berenstain Bears He Bear, She Bear",Berenstain,4.99,4.99,H,24,Random House Books,1999,679894268,5.7,4.3,0.4,8
The Hunger Games,Suzanne Collins,8.99,4.94,P,384,Scholastic Press,2010,439023521,8,5.2,0.8,11.2
Call It Courage,Armstrong Sperry,5.99,5.99,P,128,Simon Pulse,2008,141695368X,6.8,4.1,0.4,2.4
Toliver's Secret,Esther Wood Brady,6.99,6.99,P,176,Yearling,1993,679848045,7.6,5.2,0.4,3.2
Death of a Salesman,Arthur Miller,18,12.24,P,448,Penguin,1996,140247734,7.7,5,0.8,11.4
A Raisin In The Sun,Lorraine Hansberry,7.5,5.87,P,160,Vintage,2004,679755330,6.7,4.1,0.6,4
Divergent,"Roth, Veronica",17.99,11.46,H,496,Katherine Tegen Books,2011,62024027,8.2,5.8,1.6,19.2
Paradise (Oprah's Book Club),Toni Morrison,16,10.88,P,352,Plume,1999,452280397,8,5.4,0.7,10.4
A Raisin in the Sun,Lorraine Hansberry,15.95,10.85,H,176,Modern Library,1995,679601724,7.6,4.9,0.7,7.8
The Help,Stockett,16,8.8,P,544,Berkley Trade,2011,425245136,8.3,5,0.8,9.6
Pride and Prejudice,Jane  Austin,14.99,10.98,P,262,CreatSpace,2011,1463683685,9,6,0.7,16
American Psycho,Ellis,15.95,8.39,H,416,Vintage,1991,679735771,8,5.3,0.9,12.8
Adventures of Huckleberry Finn,Mark Twain,14.95,14.95,P,276,CreateSpace,2011,146352719,7.8,5.1,1,16
Charlotte's Web,E.B.White,8.99,8.99,P,192,HarperCollins,2001,64410935,8.6,5.5,0.9,13.6
The Art of Racing in the Rain,Garth Stein,14.99,8.43,P,336,Harper Paperbacks,2009,61537969,7.4,6,0.8,8.8
The Secret Sharer and Other Stories,Joseph Conrad,2,0.77,P,128,Dover,1993,486275469,8.2,5.2,0.3,4.2
Beauty and Sadness,Kawabata,13.95,11.16,P,206,Vintage,1996,679761055,8,5.1,0.6,8.8
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann and Mark Halperin,27.99,11.2,H,464,Harper,2010,61733636,9.1,6,1.7,1.2
Ocean of Words Army Stories,Ha Jin,15,10.2,P,224,Vintage,1998,375702067,8,5.2,0.7,9
Fear and Loathing in Las Vegas,Thompson,12,9.07,P,224,Vintage,1998,679785892,7.9,5.1,0.7,8
Caucasia: A Novel,Danzy Senna,15,10.2,P,432,Riverhead Trade,1999,1573227161,8,5.1,0.9,15.2
The Scarlet Letter,Hawthorne,7.77,7.77,P,140,Tribeca Books,2011,1612930026,7.8,5.1,1,16
The Invisible Bridge (Vintage Contemporaries),Orringer,15.95,8.95,P,784,Vintage,2011,140003437,7.8,5.2,1.4,20.8
Underground: The Tokyo Gas Attack and the Japanese Psyche,Murakami,15,10.2,P,384,Vintage,2001,375725806,8,5.2,0.9,10.6
The Girl With the Dragon Tatoo,Stieg Larsson,14.95,8.26,P,600,Vintage Crime / Black Lizard,2009,307454541,8.1,5.2,1.1,16
The 80 10 10 Diet,Graham,NA,118.21,P,340,foodnsport Press,2006,1893831248,8.9,6,0.8,16
